#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:58:47      0   689     6    21    11     0     0
 11:58:48      0   689     6    22    11     0     0
 11:58:49      0   689     6    23    11     0     0
 11:58:50      0   689     6    22    11     0     0
 11:58:51      0   689     6    21    11     0     0
 11:58:52      0   694     6    21    11     0     0
 11:58:53      0   695     6    30    15     0     0
 11:58:54      0   695     6    22    11     0     0
 11:58:55      0   695     6    22    11     0     0
 11:58:56      0   695     6    21    11     0     0
 11:58:57      0   695     6    22    11     0     0
 11:58:58      0   689     6    22    11     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:58:59      0   689     6    21    11     0     0
 11:59:00      0   694     6    29    14     0     0
 11:59:01      0   694     6    21    11     0     0
 11:59:02      0   694     6    22    11     0     0
 11:59:03      0   695     6    22    11     0     0
 11:59:04      0   695     6    21    11     0     0
 11:59:05      0   689     6    21    11     0     0
 11:59:06      0   689     6    21    11     0     0
 11:59:07      0   689     6    22    11     0     0
 11:59:08      0   689     6    22    11     0     0
 11:59:09      0   689     6    21    11     0     0
 11:59:10      0   689     6    22    11     0     0
 11:59:11      0   689     6    21    11     0     0
 11:59:12      0   689     6    22    11     0     0
 11:59:13      0   689     6    21    11     0     0
 11:59:14      0   689     6    22    11     0     0
 11:59:15      0   689     6    22    11     0     0
 11:59:16      0   689     6    21    11     0     0
 11:59:17      0   689     6    21    11     0     0
 11:59:18      0   689     6    21    11     0     0
 11:59:19      0   689     6    21    11     0     0
 11:59:20      0   689     6    21    11     0     0
 11:59:21      0   689     6    22    11     0     0
 11:59:22      0   689     6    21    11     0     0
 11:59:23      0   689     6    22    11     0     0
 11:59:24      0   689     6    21    11     0     0
 11:59:25      0   705     6    21    11     0     0
 11:59:26      0   706     6    25    12     0     0
 11:59:27      0   706     6    44    21     0     0
 11:59:28      0   706     6    32    15     0     0
 11:59:29      0   706     6    20     9     0     0
 11:59:30      0   706     6    37    17     0     0
 11:59:31      0   706     6    25    11     0     0
 11:59:32      0   706     6    24    11     0     0
 11:59:33      0   707     6    38    19     0     0
 11:59:34      0   712     6    22    10     0     0
